period,generation,solution_rank,lambda_h,lambda_k,lambda,tip,lambda_k_branch
19,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
19,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
20,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
21,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
22,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
22,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
22,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
22,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
22,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
